ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Hours of operation,Gender,Age
Regina Kay Gonzales,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,662-743-9178,9AM-3PM,"Female, Male",All ages
Regina Lanier Menephee,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MOUNT OLIVE,39119,16,COVINGTON,662-743-9187,9AM-3PM,"Female, Male",All ages
Berkeley Methodist Child Care Center,LICENSED,4,Center,1,Low,60,HATTIESBURG,39401,18,FORREST,662-743-9275,9AM-3PM,"Female, Male",All ages
Regina Shanoe Young,UNLICENSED,6,Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,662-743-9341,9AM-3PM,"Female, Male",All ages
Regina Taylor,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HOLLY SPRINGS,38635,47,MARSHALL,662-744-1545,9AM-3PM,"Female, Male",All ages
Bernarda Garcia,LICENSED,4,Center,1,Low,75,JACKSON,39202,25,HINDS,662-744-2213,9AM-3PM,"Female, Male",All ages
Regina White,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,662-745-0146,9AM-3PM,"Female, Male",All ages
Berne Academy DCC,LICENSED,4,Center,3,Good,206,JACKSON,39204,25,HINDS,662-745-0240,9AM-3PM,"Female, Male",All ages
Berry Best Day Care,LICENSED,4,Center,3,Good,27,BELZONI,39038,27,HUMPHREYS,662-745-0241,9AM-3PM,"Female, Male",All ages
Berry's Bright Bunch Childcare,LICENSED,4,Center,0,Not Rated,60,MANTACHIE,38855,29,ITAWAMBA,662-745-0349,9AM-3PM,"Female, Male",All ages
Bertha  Valdes,LICENSED,4,Center,0,Not Rated,29,CLARKSDALE,38614,14,COAHOMA,662-745-8402,9AM-3PM,"Female, Male",All ages
Rehema  Chedi,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TUPELO,38801,41,LEE,662-745-8402,9AM-3PM,"Female, Male",All ages
Reina Larin,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,662-745-8433,9AM-3PM,"Female, Male",All ages
Reina Piche,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,662-746-0670,9AM-3PM,"Female, Male",All ages
Reina Reyes,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,662-746-0670,9AM-3PM,"Female, Male",All ages
Bertha Alyce Center,LICENSED,4,Center,1,Low,50,GREENWOOD,38930,42,LEFLORE,662-746-1055,9AM-3PM,"Female, Male",All ages
Bertha Cisneros,LICENSED,4,Center,0,Not Rated,30,GREENVILLE,38703,76,WASHINGTON,662-746-1088,9AM-3PM,"Female, Male",All ages
Bertha Gonzales,LICENSED,4,Center,0,Not Rated,75,HATTIESBURG,39401,18,FORREST,662-746-1399,9AM-3PM,"Female, Male",All ages
Bertha Guerrero,LICENSED,4,Center,0,Not Rated,49,VICKSBURG,39180,75,WARREN,662-746-1407,9AM-3PM,"Female, Male",All ages
Rella Vanessa Kennedy,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39216,25,HINDS,662-746-1508,9AM-3PM,"Female, Male",All ages
Rena  Miller,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PETAL,39465,18,FORREST,662-746-1912,9AM-3PM,"Female, Male",All ages
Renata Morford,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LELAND,38756,76,WASHINGTON,662-746-2500,9AM-3PM,"Female, Male",All ages
Renate Brown,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENWOOD,38930,42,LEFLORE,662-746-2728,9AM-3PM,"Female, Male",All ages
Renee Cook,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LENA,39094,62,SCOTT,662-746-3080,9AM-3PM,"Female, Male",All ages
Bertha Salas,LICENSED,4,Center,0,Not Rated,15,HOULKA,38850,9,CHICKASAW,662-746-3088,9AM-3PM,"Female, Male",All ages
Renee Marie Walker,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SLEDGE,38670,72,TUNICA,662-746-3477,9AM-3PM,"Female, Male",All ages
Bess Knapp Child Development  and Child Care,LICENSED,4,Center,0,Not Rated,40,INDIANOLA,38751,67,SUNFLOWER,662-746-3812,9AM-3PM,"Female, Male",All ages
Renee Roach,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-746-3940,9AM-3PM,"Female, Male",All ages
Renee Sanchez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-746-4004,9AM-3PM,"Female, Male",All ages
Renise Baulden,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,WEST,39192,26,HOLMES,662-746-4325,9AM-3PM,"Female, Male",All ages
Resenda Patterson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,ISOLA,38754,27,HUMPHREYS,662-746-4609,9AM-3PM,"Female, Male",All ages
Reyna Lavette Harris,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,662-746-4738,9AM-3PM,"Female, Male",All ages
Rhea Mantovani,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LOUISVILLE,39339,80,WINSTON,662-746-4832,9AM-3PM,"Female, Male",All ages
Rhoda Carcillar Avery,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,INDIANOLA,38751,67,SUNFLOWER,662-746-5042,9AM-3PM,"Female, Male",All ages
Bess Race Elementary-Ryan Family YMCA,LICENSED,4,Center,1,Low,43,VICKSBURG,39180,75,WARREN,662-746-5321,9AM-3PM,"Female, Male",All ages
Rhoda Nnadi,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CANTON,39046,45,MADISON,662-746-5371,9AM-3PM,"Female, Male",All ages
Rhonda Ferguson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MOSS POINT,39563,30,JACKSON,662-746-5442,9AM-3PM,"Female, Male",All ages
Bessie Williams,LICENSED,4,Center,1,Low,12,CLARKSDALE,38614,14,COAHOMA,662-746-5628,9AM-3PM,"Female, Male",All ages
Rhonda Foley,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CARTHAGE,39051,40,LEAKE,662-746-5628,9AM-3PM,"Female, Male",All ages
Rhonda Gary,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39202,25,HINDS,662-746-5665,9AM-3PM,"Female, Male",All ages
Rhonda McCollom,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,662-746-5706,9AM-3PM,"Female, Male",All ages
Best Friends Childcare,LICENSED,4,Center,0,Not Rated,182,RIDGELAND,39157,45,MADISON,662-746-6136,9AM-3PM,"Female, Male",All ages
Rhonda Rene Rose,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,WEST POINT,39773,13,CLAY,662-746-6139,9AM-3PM,"Female, Male",All ages
Rhonda Thigpen,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SILVER CITY,39166,27,HUMPHREYS,662-746-6238,9AM-3PM,"Female, Male",All ages
Rhonda Wagner,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BROOKHAVEN,39601,43,LINCOLN,662-746-6371,9AM-3PM,"Female, Male",All ages
Best Kids Academy,LICENSED,4,Center,2,Average,30,HATTIESBURG,39401,18,FORREST,662-746-6371,9AM-3PM,"Female, Male",All ages
Rhonda Williams,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CANTON,39046,45,MADISON,662-746-6425,9AM-3PM,"Female, Male",All ages
Rhonda Yvette Texada,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LEXINGTON,39095,26,HOLMES,662-746-6523,9AM-3PM,"Female, Male",All ages
Best Lil Schoolhouse 2,LICENSED,4,Center,4,Very Good,65,VICKSBURG,39183,75,WARREN,662-746-6595,9AM-3PM,"Female, Male",All ages
Best Lil Schoolhouse N Texas,LICENSED,4,Center,1,Low,67,GREENVILLE,38703,76,WASHINGTON,662-746-7029,9AM-3PM,"Female, Male",All ages
Richelle Marie Dickey,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,WATER VALLEY,38965,81,YALOBUSHA,662-746-7285,9AM-3PM,"Female, Male",All ages
Ricki K Adams,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,PRENTISS,39474,33,JEFFERSON DAVIS,662-746-7580,9AM-3PM,"Female, Male",All ages
Rickki Nelson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BENTONIA,39040,82,YAZOO,662-746-7673,9AM-3PM,"Female, Male",All ages
Beth Yeshurun School,LICENSED,4,Center,0,Not Rated,98,RIDGELAND,39157,45,MADISON,662-746-7690,9AM-3PM,"Female, Male",All ages
Beth's Day Care,LICENSED,4,Center,0,Not Rated,41,JONESTOWN,38614,14,COAHOMA,662-746-7735,9AM-3PM,"Female, Male",All ages
Beth's Green Frog Daycare LLC,LICENSED,4,Center,0,Not Rated,150,JACKSON,39213,25,HINDS,662-746-7848,9AM-3PM,"Female, Male",All ages
Bethany Christian School,LICENSED,4,Center,0,Not Rated,49,JACKSON,39204,25,HINDS,662-746-7960,9AM-3PM,"Female, Male",All ages
Bethany Lutheran Church CDC,LICENSED,4,Center,0,Not Rated,30,GREENVILLE,38701,76,WASHINGTON,662-746-7960,9AM-3PM,"Female, Male",All ages
Rigina Lynn Corbitt,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,662-746-7960,9AM-3PM,"Female, Male",All ages
Bethany Lutheran Preschool,LICENSED,4,Center,0,Not Rated,71,TUPELO,38801,41,LEE,662-746-8376,9AM-3PM,"Female, Male",All ages
Bethany Methodist Weekday School,LICENSED,4,Center,0,Not Rated,115,FLORENCE,39073,61,RANKIN,662-746-8541,9AM-3PM,"Female, Male",All ages
Rita  Dillon,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,662-746-8544,9AM-3PM,"Female, Male",All ages
Rita Marie Morgan,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-746-8569,9AM-3PM,"Female, Male",All ages
Bethany Preschool,LICENSED,4,Center,0,Not Rated,30,HATTIESBURG,39402,37,LAMAR,662-746-8639,9AM-3PM,"Female, Male",All ages
Rita Sluder,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39206,25,HINDS,662-746-8696,9AM-3PM,"Female, Male",All ages
Rita Thomas,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,662-746-8848,9AM-3PM,"Female, Male",All ages
Rizwana Retiwala,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39305,38,LAUDERDALE,662-746-8848,9AM-3PM,"Female, Male",All ages
Robbie Coats,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,COLDWATER,38618,69,TATE,662-746-8951,9AM-3PM,"Female, Male",All ages
Robert  Hooten,UNLICENSED,6,Relative In-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,662-746-8997,9AM-3PM,"Female, Male",All ages
Roberta Brown,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,662-746-9004,9AM-3PM,"Female, Male",All ages
Robi Pooley,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BOLTON,39041,25,HINDS,662-747-2218,9AM-3PM,"Female, Male",All ages
Bethany School,LICENSED,4,Center,0,Not Rated,90,BAY SAINT LOUIS,39520,23,HANCOCK,662-747-2479,9AM-3PM,"Female, Male",All ages
Robin  Gianni,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENWOOD,38930,42,LEFLORE,662-747-2736,9AM-3PM,"Female, Male",All ages
Robin  Lynn Reinke,UNLICENSED,6,Relative In-Home,0,Not Rated,5,WEST POINT,39773,13,CLAY,662-750-1643,9AM-3PM,"Female, Male",All ages
Robin  Mullenaux,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,STARKVILLE,39759,53,OKTIBBEHA,662-751-4118,9AM-3PM,"Female, Male",All ages
Robin  Rose,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LAUREL,39440,34,JONES,662-751-8513,9AM-3PM,"Female, Male",All ages
Robin  Williams,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,662-754-2426,9AM-3PM,"Female, Male",All ages
Bethel Childrens DCC,LICENSED,4,Center,5,Excellent,179,MACON,39341,52,NOXUBEE,662-754-2449,9AM-3PM,"Female, Male",All ages
Robin Engle,UNLICENSED,6,Relative In-Home,0,Not Rated,5,ROBINSONVILLE,38664,72,TUNICA,662-754-3050,9AM-3PM,"Female, Male",All ages
Bethel Early Learning Center,LICENSED,4,Center,1,Low,45,MCCOMB,39648,57,PIKE,662-755-2667,9AM-3PM,"Female, Male",All ages
Robin Erica Hewlett,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VOSSBURG,39366,12,CLARKE,662-755-2915,9AM-3PM,"Female, Male",All ages
Robin Gans,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BILOXI,39530,24,HARRISON,662-755-8621,9AM-3PM,"Female, Male",All ages
Robyn Butler,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,662-756-0012,9AM-3PM,"Female, Male",All ages
Robyn Robinson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,662-756-0322,9AM-3PM,"Female, Male",All ages
Bethel Lutheran Preschool,LICENSED,4,Center,0,Not Rated,50,JACKSON,39209,25,HINDS,662-756-2370,9AM-3PM,"Female, Male",All ages
Rochelle  Abercrombie,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,SHUBUTA,39360,12,CLARKE,662-756-4169,9AM-3PM,"Female, Male",All ages
Bethel's Family Christian Academy,LICENSED,4,Center,0,Not Rated,18,HATTIESBURG,39401,18,FORREST,662-757-0171,9AM-3PM,"Female, Male",All ages
Roda Mohamed Abdullahi,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GULFPORT,39503,24,HARRISON,662-759-0008,9AM-3PM,"Female, Male",All ages
Bethel's Learning Center,LICENSED,4,Center,0,Not Rated,43,NEW ALBANY,38652,73,UNION,662-759-0280,9AM-3PM,"Female, Male",All ages
Rode  Coker,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,662-759-0528,9AM-3PM,"Female, Male",All ages
Rogaiyah  Janabee,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,662-759-0953,9AM-3PM,"Female, Male",All ages
Roger Benjamin,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GAUTIER,39553,30,JACKSON,662-759-3726,9AM-3PM,"Female, Male",All ages
Ronald Jeffers,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39213,25,HINDS,662-759-3776,9AM-3PM,"Female, Male",All ages
Ronald Morgan,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39203,25,HINDS,662-759-6306,9AM-3PM,"Female, Male",All ages
Bethesda CDC,LICENSED,4,Center,1,Low,49,GREENWOOD,38930,42,LEFLORE,662-759-6486,9AM-3PM,"Female, Male",All ages
Ronda  Shelton,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CRENSHAW,38621,54,PANOLA,662-759-6755,9AM-3PM,"Female, Male",All ages
Ronda Cox,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,OCEAN SPRINGS,39565,30,JACKSON,662-759-9885,9AM-3PM,"Female, Male",All ages
Ronita  Jagours,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BRANDON,39047,61,RANKIN,662-760-6309,9AM-3PM,"Female, Male",All ages
Ronni Smith,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MAGNOLIA,39652,57,PIKE,662-760-8752,9AM-3PM,"Female, Male",All ages
Bethlehem Childrens Academy,LICENSED,4,Center,1,Low,145,JACKSON,39204,25,HINDS,662-763-2193,9AM-3PM,"Female, Male",All ages
Bethune Academy YMCA Afterschool Program,LICENSED,4,Center,1,Low,49,BYRAM,39272,25,HINDS,662-763-2574,9AM-3PM,"Female, Male",All ages
Rosa  Berber,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PASCAGOULA,39567,30,JACKSON,662-763-3041,9AM-3PM,"Female, Male",All ages
Bette Perot Elementary-Clayton,LICENSED,4,Center,1,Low,30,JACKSON,39203,25,HINDS,662-763-3385,9AM-3PM,"Female, Male",All ages
Rosa  De La Fuente,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,DUNCAN,38740,6,BOLIVAR,662-763-3454,9AM-3PM,"Female, Male",All ages
Better Beginnings Childrens Center,LICENSED,4,Center,0,Not Rated,30,JACKSON,39212,25,HINDS,662-763-4044,9AM-3PM,"Female, Male",All ages
Rosa  Lopez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SALLIS,39160,4,ATTALA,662-763-4360,9AM-3PM,"Female, Male",All ages
Rosa Alicia Gil,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,SOUTHAVEN,38672,17,DESOTO,662-763-4427,9AM-3PM,"Female, Male",All ages
Bettina Rah'shaun Buhl,LICENSED,4,Center,0,Not Rated,27,UNION,39365,51,NEWTON,662-763-4571,9AM-3PM,"Female, Male",All ages
Betty  Cook,LICENSED,4,Center,3,Good,192,HATTIESBURG,39401,18,FORREST,662-763-4702,9AM-3PM,"Female, Male",All ages
Rosa Arzate,UNLICENSED,6,Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,662-763-5016,9AM-3PM,"Female, Male",All ages
Betty  J.  Braggs,LICENSED,4,Center,0,Not Rated,44,BELZONI,39038,27,HUMPHREYS,662-763-5029,9AM-3PM,"Female, Male",All ages
Rosa Dena,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,WOODVILLE,39669,79,WILKINSON,662-763-5054,9AM-3PM,"Female, Male",All ages
Rosa Elia Loredo,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,WEST,39192,26,HOLMES,662-763-5061,9AM-3PM,"Female, Male",All ages
Rosa Elia Ortiz,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39213,25,HINDS,662-763-5072,9AM-3PM,"Female, Male",All ages
Rosa Enriquez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PHILADELPHIA,39350,50,NESHOBA,662-763-5092,9AM-3PM,"Female, Male",All ages
Rosa Escobedo,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GULFPORT,39503,24,HARRISON,662-763-5125,9AM-3PM,"Female, Male",All ages
Rosa Garcia Pina,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,COLDWATER,38618,69,TATE,662-763-5134,9AM-3PM,"Female, Male",All ages
Rosa Garnica,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MAGNOLIA,39652,57,PIKE,662-763-7113,9AM-3PM,"Female, Male",All ages
Betty Cox,LICENSED,4,Center,1,Low,49,PICAYUNE,39466,55,PEARL RIVER,662-763-7114,9AM-3PM,"Female, Male",All ages
Rosa I Cuevas,UNLICENSED,6,Relative In-Home,0,Not Rated,5,KILMICHAEL,39747,49,MONTGOMERY,662-763-7488,9AM-3PM,"Female, Male",All ages
Rosa Isela Del Toro,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HOLLANDALE,38748,76,WASHINGTON,662-763-7507,9AM-3PM,"Female, Male",All ages
Rosa M Williams,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GOODMAN,39079,26,HOLMES,662-763-7790,9AM-3PM,"Female, Male",All ages
Betty Davidson,LICENSED,4,Center,0,Not Rated,85,NETTLETON,38858,48,MONROE,662-763-8317,9AM-3PM,"Female, Male",All ages
Rosa Maria Membreno,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LEXINGTON,39095,26,HOLMES,662-763-8759,9AM-3PM,"Female, Male",All ages
Rosa Maria Tuda,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HORN LAKE,38637,17,DESOTO,662-763-8892,9AM-3PM,"Female, Male",All ages
Rosa Rodarte,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LUCEDALE,39452,20,GEORGE,662-765-4883,9AM-3PM,"Female, Male",All ages
Rosa Sanchez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,662-767-3737,9AM-3PM,"Female, Male",All ages
Rosaland Shorters,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENWOOD,38930,42,LEFLORE,662-767-9075,9AM-3PM,"Female, Male",All ages
Rosalba  Rodriguez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CHOCTAW,39350,50,NESHOBA,662-771-4133,9AM-3PM,"Female, Male",All ages
Rosalind  Kyle,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HERNANDO,38632,17,DESOTO,662-771-4166,9AM-3PM,"Female, Male",All ages
Rosalinda  Flores,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HOLLANDALE,38748,76,WASHINGTON,662-771-4175,9AM-3PM,"Female, Male",All ages
Rosalinda Pena,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BOLTON,39041,25,HINDS,662-771-5017,9AM-3PM,"Female, Male",All ages
Rosalinda R Garcia,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CORINTH,38834,2,ALCORN,662-771-5086,9AM-3PM,"Female, Male",All ages
Betty De Hoyos,LICENSED,4,Center,0,Not Rated,105,VICKSBURG,39183,75,WARREN,662-773-2268,9AM-3PM,"Female, Male",All ages
Rosalinda Ramirez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,4,MERIDIAN,39307,38,LAUDERDALE,662-773-2670,9AM-3PM,"Female, Male",All ages
Rosario Snyder,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,662-773-5432,9AM-3PM,"Female, Male",All ages
Betty DeLeon,LICENSED,4,Center,0,Not Rated,15,JACKSON,39208,61,RANKIN,662-773-5592,9AM-3PM,"Female, Male",All ages
Rosaura Scott,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,662-773-5889,9AM-3PM,"Female, Male",All ages
Rosaura Villarreal,UNLICENSED,6,Relative In-Home,0,Not Rated,5,FLORENCE,39073,61,RANKIN,662-773-6379,9AM-3PM,"Female, Male",All ages
Betty Fals' Home Day Care,LICENSED,4,Center,0,Not Rated,50,GREENVILLE,38701,76,WASHINGTON,662-773-7300,9AM-3PM,"Female, Male",All ages
Betty Freeman,LICENSED,4,Center,0,Not Rated,400,PASS CHRISTIAN,39571,24,HARRISON,662-773-7539,9AM-3PM,"Female, Male",All ages
Betty J Williams,LICENSED,4,Center,0,Not Rated,89,AMORY,38821,48,MONROE,662-773-7603,9AM-3PM,"Female, Male",All ages
Betty Lin Early Childhood Learning Ctr,LICENSED,4,Center,0,Not Rated,37,CENTREVILLE,39631,79,WILKINSON,662-773-7787,9AM-3PM,"Female, Male",All ages
Betty Sobota,LICENSED,4,Center,1,Low,43,FAYETTE,39069,32,JEFFERSON,662-773-8150,9AM-3PM,"Female, Male",All ages
Rosavell  Oliver,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,662-773-8399,9AM-3PM,"Female, Male",All ages
Roscoe Franklin Hellums,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39402,18,FORREST,662-773-8608,9AM-3PM,"Female, Male",All ages
Rose Griffin,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CORINTH,38834,2,ALCORN,662-773-8943,9AM-3PM,"Female, Male",All ages
Rose M Peterson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LAKE,39092,62,SCOTT,662-773-9309,9AM-3PM,"Female, Male",All ages
Rose Marguriette Gardner,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUPELO,38804,41,LEE,662-773-9332,9AM-3PM,"Female, Male",All ages
Rose Marie Cornwell,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,662-773-9342,9AM-3PM,"Female, Male",All ages
Rose Nelson,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-773-9456,9AM-3PM,"Female, Male",All ages
Rose Williams,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LOUISVILLE,39339,80,WINSTON,662-773-9456,9AM-3PM,"Female, Male",All ages
Rose-Marie Schirmer,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,662-774-9061,9AM-3PM,"Female, Male",All ages
Roseline  Kargou,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-775-1017,9AM-3PM,"Female, Male",All ages
Betty Sue Creech Elementary ASP,LICENSED,4,Center,0,Not Rated,10,PICKENS,39146,26,HOLMES,662-775-5018,9AM-3PM,"Female, Male",All ages
Roselynn Kelly Gatter,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CANTON,39046,45,MADISON,662-778-1301,9AM-3PM,"Female, Male",All ages
Betty Sue Enriquez,LICENSED,4,Center,0,Not Rated,29,WINONA,38967,49,MONTGOMERY,662-779-1086,9AM-3PM,"Female, Male",All ages
Rosemary  Block,UNLICENSED,6,Relative In-Home,0,Not Rated,5,ROLLING FORK,39159,63,SHARKEY,662-779-2684,9AM-3PM,"Female, Male",All ages
Rosemary  Mwaniki,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,662-779-2785,9AM-3PM,"Female, Male",All ages
Rosemary  Sanchez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CARRIERE,39426,55,PEARL RIVER,662-779-3272,9AM-3PM,"Female, Male",All ages
Rosemary Beavers,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BILOXI,39532,24,HARRISON,662-779-3900,9AM-3PM,"Female, Male",All ages
Betty Thi Ngo,LICENSED,4,Center,0,Not Rated,40,MERIDIAN,39307,38,LAUDERDALE,662-779-3937,9AM-3PM,"Female, Male",All ages
Betty Whisenhunt,LICENSED,4,Center,2,Average,72,AMORY,38821,48,MONROE,662-781-0322,9AM-3PM,"Female, Male",All ages
Rosemary Castagna,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,662-781-4862,9AM-3PM,"Female, Male",All ages
Rosemary Eileen Vandertulip,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,662-788-1285,9AM-3PM,"Female, Male",All ages
Betty Zapata,LICENSED,4,Center,0,Not Rated,51,CLARKSDALE,38614,14,COAHOMA,662-788-5018,9AM-3PM,"Female, Male",All ages
Betty's Day Care,LICENSED,4,Center,0,Not Rated,35,HATTIESBURG,39401,18,FORREST,662-792-2323,9AM-3PM,"Female, Male",All ages
